C          C                      C2                                                       1.00 0.00e+00              1 1  1
C          C2                     C3                                                       1.00 0.00e+00              2 1  1
C          CCH                    c-C3H                                                    0.50 0.00e+00              3 1  1
C          CCH                    l-C3H                                                    0.50 0.00e+00              4 1  1
C          C2H3                   CH2CCH                                                   1.00 0.00e+00              5 1  1
C          CCN                    C3N                                                      1.00 0.00e+00              6 1  1
C          CCO                    C3O                                                      1.00 0.00e+00              7 1  1
C          CCS                    C3S                                                      1.00 0.00e+00              8 1  1
C          C3                     C4                                                       1.00 0.00e+00              9 1  1
C          c-C3H                  C4H                                                      1.00 0.00e+00             10 1  1
C          l-C3H                  C4H                                                      1.00 0.00e+00             11 1  1
C          C4                     C5                                                       1.00 0.00e+00             12 1  1
C          C4H                    C5H                                                      1.00 0.00e+00             13 1  1
C          C5                     C6                                                       1.00 0.00e+00             14 1  1
C          C5H                    C6H                                                      1.00 0.00e+00             15 1  1
C          C6                     C7                                                       1.00 0.00e+00             16 1  1
C          C6H                    C7H                                                      1.00 0.00e+00             17 1  1
C          C7                     C8                                                       1.00 0.00e+00             18 1  2
C          C7H                    C8H                                                      1.00 0.00e+00             19 1  1
C          C8                     C9                                                       1.00 0.00e+00             20 1  1
C          C8H                    C9H                                                      1.00 0.00e+00             21 1  1
C          C9                     C10                                                      1.00 0.00e+00             22 1  1
C          CH                     CCH                                                      1.00 0.00e+00             23 1  1
C          CH2                    C2H2                                                     1.00 0.00e+00             24 1  1
C          CH3                    C2H3                                                     1.00 0.00e+00             25 1  1
C          CN                     CCN                                                      1.00 0.00e+00             26 1  1
C          HS                     CS         H                                             1.00 0.00e+00             27 1  1
C          N                      CN                                                       1.00 0.00e+00             28 1  1
C          NH                     HNC                                                      1.00 0.00e+00             29 1  1
C          NH2                    HNC        H                                             1.00 0.00e+00             30 1  1
C          NO                     CN         O                                             0.50 0.00e+00             31 1  1
C          NO                     OCN                                                      0.50 0.00e+00             32 1  1
C          NS                     CN         S                                             1.00 0.00e+00             33 1  1
C          O                      CO                                                       1.00 0.00e+00             34 1  1
C          O2                     CO         O                                             1.00 0.00e+00             35 1  1
C          OCN                    CO         CN                                            1.00 0.00e+00             36 1  1
C          OH                     CO         H                                             1.00 0.00e+00             37 1  1
C          S                      CS                                                       1.00 0.00e+00             38 1  1
C          SO                     CO         S                                             1.00 0.00e+00             39 1  1
CH         C2                     c-C3H                                                    0.50 0.00e+00             40 1  1
CH         C2                     l-C3H                                                    0.50 0.00e+00             41 1  1
CH         CCH                    c-C3H2                                                   0.50 0.00e+00             42 1  1
CH         CCH                    l-C3H2                                                   0.50 0.00e+00             43 1  1
CH         C2H3                   CH3CCH                                                   1.00 0.00e+00             44 1  1
CH         C3                     C4H                                                      1.00 0.00e+00             45 1  1
CH         c-C3H                  C4H2                                                     1.00 0.00e+00             46 1  1
CH         l-C3H                  C4H2                                                     1.00 0.00e+00             47 1  1
CH         C4                     C5H                                                      1.00 0.00e+00             48 1  1
CH         C4H                    C5H2                                                     1.00 0.00e+00             49 1  1
CH         C5                     C6H                                                      1.00 0.00e+00             50 1  1
CH         C5H                    C6H2                                                     1.00 0.00e+00             51 1  1
CH         C6                     C7H                                                      1.00 0.00e+00             52 1  1
CH         C6H                    C7H2                                                     1.00 0.00e+00             53 1  1
CH         C7                     C8H                                                      1.00 0.00e+00             54 1  1
CH         C7H                    C8H2                                                     1.00 0.00e+00             55 1  1
CH         C8                     C9H                                                      1.00 0.00e+00             56 1  1
CH         C8H                    C9H2                                                     1.00 0.00e+00             57 1  1
CH         CH                     C2H2                                                     1.00 0.00e+00             58 1  1
CH         CH2                    C2H3                                                     1.00 0.00e+00             59 1  1
CH         CH3                    C2H4                                                     1.00 0.00e+00             60 1  1
CH         HNO                    NO         CH2                                           1.00 0.00e+00             61 1  1
CH         NH                     HCN        H                                             0.50 0.00e+00             62 1  1
CH         NH                     HNC        H                                             0.50 0.00e+00             63 1  1
CH         NH2                    CH2NH                                                    1.00 0.00e+00             64 1  1
CH         NO                     HCN        O                                             1.00 0.00e+00             65 1  1
CH         O2                     HCO        O                                             1.00 0.00e+00             66 1  1
CH2        CH2                    C2H4                                                     1.00 0.00e+00             67 1  1
CH2        CH3                    C2H5                                                     1.00 0.00e+00             68 1  1
CH2        CN                     H2CCN                                                    1.00 0.00e+00             69 1  1
CH2        HNO                    CH3        NO                                            1.00 0.00e+00             70 1  1
CH2        O2                     H2CO       O                                             1.00 0.00e+00             71 1  1
CH3        C3N                    CH3C3N                                                   1.00 0.00e+00             72 1  1
CH3        C5N                    CH3C5N                                                   1.00 0.00e+00             73 1  1
CH3        C7N                    CH3C7N                                                   1.00 0.00e+00             74 1  1
CH3        CN                     CH3CN                                                    1.00 0.00e+00             75 1  1
CH3        HCO                    CH3CHO                                                   1.00 0.00e+00             76 1  1
CH3        HNO                    CH4        NO                                            1.00 0.00e+00             77 1  1
CH4        CCH                    C2H2       CH3                                           1.00 0.00e+00             78 1  1
H          C                      CH                                                       1.00 0.00e+00             79 1  1
H          C2                     CCH                                                      1.00 0.00e+00             80 1  1
H          CCH                    C2H2                                                     1.00 0.00e+00             81 1  1
H          C2H2                   C2H3                                                     1.00 0.00e+00             82 1  1
H          C2H3                   C2H4                                                     1.00 0.00e+00             83 1  1
H          C2H4                   C2H5                                                     1.00 0.00e+00             84 1  1
H          C3                     c-C3H                                                    0.50 0.00e+00             85 1  2
H          C3                     c-C3H                                                    0.60 0.00e+00             85 2  2
H          C3                     l-C3H                                                    0.50 0.00e+00             86 1  2
H          C3                     l-C3H                                                    0.40 0.00e+00             86 2  2
H          c-C3H                  c-C3H2                                                   1.00 0.00e+00             87 1  1
